Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3327.21533203125,3327.21533203125,3327.21533203125,3327.21533203125,2510.625,0
2019-01-02,3281.761474609375,3309.03369140625,3263.580078125,3281.761474609375,2476.326904296875,82441033
2019-01-03,3254.4892578125,3309.03369140625,3254.4892578125,3290.852294921875,2483.186767578125,102805905
2019-01-04,3290.852294921875,3327.21533203125,3281.761474609375,3327.21533203125,2510.625,125907734
2019-01-07,3363.578369140625,3372.6689453125,3327.21533203125,3327.21533203125,2510.625,82106628
2019-01-08,3327.21533203125,3345.396728515625,3299.943115234375,3345.396728515625,2524.34423828125,89499635
2019-01-09,3372.6689453125,3399.941162109375,3354.487548828125,3381.759765625,2551.783203125,131331598
2019-01-10,3399.941162109375,3409.031982421875,3372.6689453125,3409.031982421875,2572.361572265625,156122176
2019-01-11,3418.122802734375,3427.213623046875,3363.578369140625,3390.8505859375,2558.642578125,118649479
2019-01-14,3390.8505859375,3445.39501953125,3390.8505859375,3445.39501953125,2599.80029296875,126576436
2019-01-15,3427.213623046875,3445.39501953125,3399.941162109375,3436.30419921875,2592.940673828125,154948896
2019-01-16,3445.39501953125,3454.48583984375,3418.122802734375,3436.30419921875,2592.940673828125,114151831
2019-01-17,3445.39501953125,3490.848876953125,3436.30419921875,3463.576416015625,2613.519287109375,131847617
2019-01-18,3499.939453125,3499.939453125,3445.39501953125,3472.667236328125,2620.379150390625,105708085
2019-01-21,3454.48583984375,3481.758056640625,3454.48583984375,3454.48583984375,2606.659912109375,89020137
2019-01-22,3427.213623046875,3445.39501953125,3399.941162109375,3427.213623046875,2586.08154296875,131658634
2019-01-23,3418.122802734375,3463.576416015625,3390.8505859375,3427.213623046875,2586.08154296875,179807675
2019-01-24,3409.031982421875,3463.576416015625,3409.031982421875,3445.39501953125,2599.80029296875,193786497
2019-01-25,3472.667236328125,3472.667236328125,3436.30419921875,3436.30419921875,2592.940673828125,139857845
2019-01-28,3409.031982421875,3445.39501953125,3409.031982421875,3436.30419921875,2592.940673828125,102940988
2019-01-29,3436.30419921875,3472.667236328125,3318.12451171875,3354.487548828125,2531.2041015625,206378414
2019-01-30,3363.578369140625,3418.122802734375,3363.578369140625,3409.031982421875,2572.361572265625,159225000
2019-01-31,3454.48583984375,3518.12109375,3454.48583984375,3499.939453125,2640.9580078125,277698146
2019-02-01,3527.2119140625,3572.66552734375,3518.12109375,3563.57470703125,2688.9755859375,154119152
2019-02-04,3590.84716796875,3590.84716796875,3536.302490234375,3545.393310546875,2675.25634765625,83552603
